Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Republic of Korea,2674.14167989537,2658.15876361652,2636.18225373318,2653.16410227943,2637.18118600068,2645.17264414006,2634.18438919839,2579.24311449005,2485.34348135214,2492.33600722412,2509.31785577026,2496.3317362938,2461.36910693391,2421.41181623693,2389.44598367942,2348.48976071495,2343.49509937786,2303.53780868088,2216.63070141494,2167.46149884328,2153.4132477281,2126.31981734043,2110.26466250982,2100.23012403456,2070.31229631003,2077.29310061617,2062.33416511733,2012.47129258217,1987.53972284049,1979.52625757352
Sri Lanka,1982.90163129557,1998.10843807698,2001.62642043732,2017.4284093732,1961.76776594844,1943.48456495448,1936.94872350649,1894.85984851629,1910.48777488846,1932.79371710593,2000.73961844769,1975.66028868094,1812.20158360712,1733.87134403095,1856.29764779853,1887.69256924194,1835.42959351058,1861.29798030073,1823.99101340858,1810.6286959884,1872.33610513091,1993.67928297466,2052.95327766158,1896.66034263304,1926.35511588939,1924.01247047622,1922.44899047936,1922.51318106001,1922.51318106001,1922.51318106001
Lithuania,,,,,,1729.3558435254,1727.04020627509,1732.69395478538,1779.59381691649,1726.01386256492,1846.22746017339,1831.21939984695,1802.17110735079,1785.88633031963,1878.55613077087,1878.97192972577,1874.21024388177,1903.75672945182,1933.57151371933,1862.94369203424,1921.48934465631,1896.04649865747,1893.82076947138,1877.09273530977,1868.48781741622,1894.89536504812,1918.81802342958,1876.43054872273,1884.49949297407,1886.08447373354
Luxembourg,1633.9445181211,1616.63952322465,1595.69152940258,1602.06752752219,1581.11953370012,1592.61453031004,1599.56251127548,1598.03699179899,1593.31355259309,1591.75705854203,1602.21548949063,1585.71991545158,1580.68245125348,1578.93333333333,1577.87835265039,1549.8423738178,1552.27557280581,1566.29590766002,1566.96903794426,1516.47032170367,1516.49794192902,1515.06915928247,1508.08672258269,1502.68086098376,1506.15734309888,1513.67576085886,1512.38557326896,1505.68972290911,1505.71326707964,1505.55854209225
Latvia,,,,,,1975.90814779776,1975.89591173452,1975.91684664121,1975.9045799174,1975.9007029877,1975.79490954758,1987.14392244594,1937.87382392473,1927.73406520015,1878.39416210364,1905.51204663881,1906.82862578662,1878.2091403761,2002.2491398675,1952.22414022042,1935.13532738201,1951.89787671393,1934.28387230466,1927.7460810461,1938.47575373875,1901.74128233971,1902.4856143518,1886.51000575627,1899.59454805994,1864.97582124396
Mexico,2175.57086614173,2168.14016669573,2160.73484693059,2153.35482016157,2146,2161,2192,2241,2168,2242,2174,2146,2196,2143,2123,2105,2067,2045,2105,1973,2150,2121,2120,2136,2134,2140,2146,2148,2149,2137
Malta,,,,,2258.48771210391,2257.28989357159,2250.38574611899,2252.86495225501,2277.3826927495,2254.38400178192,2251.18169398907,2159.33682373473,2216.68786398019,2191.66778658782,2091.19635803709,2157.91352637842,2162.85584001042,2153.30359987257,2162.97377904809,2168.40372670807,2110.20208803956,2047.17115407425,2013.18947611355,1988.1224988884,1943.17738277335,1933.22856998023,1985.76220104997,1897.17536994558,1913.26967960959,1915.41671682517
Myanmar,2439.51075289691,2440.86391259165,2441.47603456314,2442.08079253974,2442.67374271529,2443.24981267322,2443.66352481305,2444.01130750291,2444.30648079608,2444.55895381131,2444.77492648356,2444.77837916786,2444.78778434959,2444.79302202404,2444.78218274209,2444.74240641588,2444.41250974824,2444.06333564617,2443.68557750431,2443.26645958323,2442.78464424057,2443.07080151805,2443.35114092496,2443.60836010848,2443.80507726345,2445.98534497364,2445.27809473928,2447.0576594937,2447.0576594937,2447.0576594937
Malaysia,2240.68156614468,2244.92840890568,2248.4296445991,2249.39021902105,2249.01594716027,2248.90423409625,2250.03613453661,2250.7687026052,2249.46491118404,2248.56453399783,2247.29151897399,2247.74777105373,2274.43135438645,2265.10012158054,2261.07738332937,2308.51209221607,2289.9543347059,2266.09029132498,2239.41783208168,2244.53017129966,2227.76219683704,2225.79980431352,2204.2870108947,2170.11938736516,2180.26583140391,2169.28759054712,2190.46806561808,2197.058086374,2197.058086374,2197.058086374
Netherlands,1476.1851996037,1467.07119837134,1473.48519923862,1463.15219784143,1470.79619887502,1481.55820033021,1496.45040431267,1481.96731171548,1478.72183908046,1477.17405338299,1464.06144093624,1454.07684952791,1436.37664649341,1427.82780429594,1447.89523234762,1433.6118705036,1430.44713061847,1429.1720246238,1428.56623667975,1420.04706414753,1419.63344344458,1420.18023715415,1410.50978838973,1414.6989579755,1425.5953008596,1425.81357856494,1437.30940400313,1436.76564376979,1436.40336313325,1439.73151629073
Norway,1502.42954324587,1500.49067713445,1510.32448377581,1506.58857979502,1504.5739046702,1487.7358490566,1482.20064724919,1477.53818508535,1475.71115973742,1474.84822202949,1456.46551724138,1423.98286937902,1406.80154972019,1389.42307692308,1404.96948561465,1406.38481449525,1399.66555183946,1405.23138832998,1406.78627145086,1387.08414872798,1395.36709854731,1400.15479876161,1396.28365566932,1386.72168042011,1389.38381588716,1391.94680458072,1394.47513812155,1380.77903167091,1382.52148997135,1384.07329105004
New Zealand,1808.29438327887,1795.99889887425,1804.7195701019,1857.00743223564,1851.46572628228,1845.45259279938,1838.87302443578,1823.38636191858,1824.11009077797,1840.17522520816,1836.36225122568,1820.93525863215,1820.75972110946,1818.16930807885,1832.76300294859,1812.74220732441,1796.37082606592,1777.80475016588,1759.58191651539,1741.75374887087,1759.79012647398,1746.31761670117,1739.55787215732,1756.73481236388,1756.55414658266,1750.86328487027,1764.12965594284,1752.57494350855,1769.08498554766,1778.98443058943
Pakistan,2205.63176345924,2205.46339609085,2191.65720503721,2194.67627702867,2191.87236296515,2208.6286384151,2206.70667229236,2199.74774601322,2177.57755837348,2179.19542516302,2186.43676993238,2178.35619214505,2169.92918269705,2183.73080714452,2176.87013671966,2164.00089496367,2131.49663128643,2135.80435897964,2128.70811781408,2109.1352781699,2127.92344414768,2114.87423458301,2101.50211226882,2088.75303393248,2058.52392472931,2026.97769663354,1997.12581192399,1966.90718046047,1966.90718046047,1966.90718046047
Peru,2124.67849357041,2120.4772792949,2126.32514835365,2119.62940741529,2117.72408282314,2117.34418186855,2112.00906141046,2111.49587635061,2104.99258180791,2101.35515069944,2101.23468405172,2100.58492780776,2098.30816906557,2100.92120891962,2099.53957604442,2100.56938829356,2100.76459619634,2116.98228593942,2123.13309524531,2123.40433436309,2132.4568509245,2132.8753053824,2134.47303367359,2137.35821891497,2134.60751285304,2133.84166962571,2139.42177156342,2139.60175949709,2139.60175949709,2139.60175949709
Philippines,2191.85074734378,2176.25021995287,2176.11104785618,2136.09364080059,2149.98689956855,2130.21394088094,2094.38431692783,2146.59352778305,2105.02670496789,2115.57987347704,2160.45367914906,2067.62990910962,2061.25575078172,2077.35258103476,2084.00799791227,2103.09054529137,2077.18583383126,2092.11421449802,2112.77909030905,2117.41814323607,2124.37976911336,2127.20830581846,2131.92487978723,2140.26487722336,2142.98321311221,2149.71422660348,2159.47503073321,2168.29650047107,2168.29650047107,2168.29650047107
Poland,,,,,,2081.89836718754,2082.04636721364,2081.85236717943,2081.79536716937,2115.15737305348,2081.69736715209,2083.69085862429,2078.47518941182,2084.172099279,2084.53282268555,2079.04844561429,2080.57949930708,2077.61446037517,2069.59998474437,2054.00002533345,2048.80002342179,2043.59998188558,2038.39998966068,2034.75458813487,2041.32191214799,2049.00914214152,2051.47934433561,2029.35825927061,2002.15146582783,2022.63223188477
Portugal,1972.38001817994,1893.14306790613,1876.25604348235,1863.66193020612,1859.32958282557,1897.71780842486,1898.77130081848,1893.72051930463,1909.18666235774,1910.95426129684,1920.56145946139,1903.93170490186,1896.985395918,1889.95547224711,1896.08761931843,1898.14400431664,1886.33868551985,1903.48428751497,1890.36186081852,1890.7940400956,1893.63561901986,1870.60332068172,1853.0901788735,1863.21646139361,1870.83419196586,1878.60164954041,1884.82965078519,1873.61908133095,1867.85201222515,1864.58836048923
Romania,,,,,,1822.64540563805,1861.46354704354,1860.52391920155,1859.14932530186,1850.04467781309,1852.99899736344,1852.48045940341,1867.17617689761,1837.05989926223,1886.58057142857,1876.99610223712,1836.0745405365,1839.94076978205,1835.25210757445,1815.49711104457,1840.66898946717,1849.26924566159,1811.54280360427,1806.45692813966,1792.53352789938,1785.67108859097,1809.02842365,1785.79676058949,1787.76637307257,1791.73542917288
Russian Federation,,,1933,1939,1895,1891,1894,1951,1946,1964,1982,1980,1982,1993,1993,1989,1998,1999,1997,1974,1976,1979,1982,1980,1985,1978,1974,1979,1970,1965
