iso_code,country,year,empratio,gdpcap,laborshare,whours,empratio_fraction,estimated_hourly_wage,log_estimated_hourly_wage
PER,Peru,2009,75.465,11206.37082,0.450771033763886,2123.40433436309,0.75465,3.1524101279854984,1.1481672802778513
PER,Peru,2010,76.388,12061.16406,0.432521492242813,2132.4568509245,0.76388,3.202517605828854,1.1639372523002152
PER,Peru,2011,75.917,12728.86482,0.420139253139496,2132.8753053824,0.75917,3.3027707490985163,1.1947617371268948
PER,Peru,2012,75.918,13397.78324,0.440379440784454,2134.47303367359,0.7591800000000001,3.6410324703174224,1.292267287120415
PER,Peru,2013,75.079,14054.63836,0.448173940181732,2137.35821891497,0.75079,3.9252785437795934,1.3674373152844133
PER,Peru,2014,74.593,14247.101,0.459253311157227,2134.60751285304,0.74593,4.1092512090938875,1.413240824341575
PER,Peru,2015,73.419,14545.38114,0.460235178470612,2133.84166962571,0.73419,4.273013455114421,1.4523193055252712
PER,Peru,2016,72.557,14920.10368,0.455481171607971,2139.42177156342,0.72557,4.377907098639136,1.4765707788296427
PER,Peru,2017,74.154,15072.2039,0.448849886655808,2139.60175949709,0.74154,4.263932800334709,1.4501919269679473
PER,Peru,2018,74.484,15388.99832,0.447212278842926,2139.60175949709,0.74484,4.318452367052023,1.4628970897021552
PER,Peru,2019,74.748,15466.29515,0.447212278842926,2139.60175949709,0.74748,4.324814552155895,1.464369261350306
PHL,Philippines,1991,59.162,4378.395321,0.437833726406097,2176.25021995287,0.59162,1.488923923950973,0.398053660355644
PHL,Philippines,1992,59.134,4293.718101,0.437833726406097,2176.11104785618,0.59134,1.4609132548798516,0.3790617572069991
PHL,Philippines,1993,59.126,4283.159678,0.438424527645111,2136.09364080059,0.59126,1.4868265991315632,0.3966440494689626
PHL,Philippines,1994,59.144,4374.067217,0.443968296051025,2149.98689956855,0.59144,1.5271823770562356,0.4234244539811005
PHL,Philippines,1995,59.146,4477.323177,0.441215932369232,2130.21394088094,0.59146,1.567909632656396,0.4497432880329737
PHL,Philippines,1996,59.116,4631.771977,0.439631700515747,2094.38431692783,0.59116,1.6446547882283973,0.4975305070143501
PHL,Philippines,1997,59.067,4758.708458,0.436917185783386,2146.59352778305,0.59067,1.639809873319006,0.4945803042125553
PHL,Philippines,1998,59.071,4616.672929,0.429843604564667,2105.02670496789,0.59071,1.5959072381907349,0.4674423759041243
PHL,Philippines,1999,59.018,4650.759269,0.4234778881073,2115.57987347704,0.59018,1.5773958144035287,0.4557752685000592
PHL,Philippines,2000,58.961,4740.438909,0.39628329873085,2160.45367914906,0.58961,1.4747368202184206,0.3884795469012351
PHL,Philippines,2001,58.984,4778.400844,0.384007751941681,2067.62990910962,0.58984,1.5045808963937333,0.4085143852627232
PHL,Philippines,2002,58.999,4856.499484,0.380383759737015,2061.25575078172,0.58999,1.5190385051974846,0.4180775723361229
PHL,Philippines,2003,58.986,5003.383177,0.37259566783905,2077.35258103476,0.5898599999999999,1.5213964713473882,0.4196286442326321
PHL,Philippines,2004,59.337,5229.450807,0.410449624061585,2084.00799791227,0.5933700000000001,1.7357652025482797,0.5514483551024651
